request_number,username,created_at,body
R-20251005-9245,specialist8,2025-10-16 10:52:06,Очистка фильтров выполнена.
R-20251005-9245,specialist,2025-10-09 11:52:06,Тестирование всех режимов работы.
R-20251012-3805,specialist6,2025-10-22 17:19:06,Настройка параметров работы.
R-20251012-3805,operator,2025-10-22 19:19:06,Калибровка датчиков выполнена.
R-20251012-3805,specialist9,2025-11-07 18:19:06,Проверка электрики - все в норме.
R-20251012-3805,specialist4,2025-10-27 22:19:06,Выполнена профилактическая чистка.
R-20250822-8929,operator,2025-09-05 07:24:06,Требуется заказ комплектующих.
R-20251216-9773,operator,2025-12-27 06:07:06,Заменен компрессор.
R-20251216-9773,operator2,2026-01-14 23:07:06,Заправка фреоном выполнена. Проверка работы.
R-20251216-9773,specialist3,2025-12-28 02:07:06,Заменен датчик температуры.
R-20251216-9773,operator2,2026-01-15 23:07:06,"Ремонт завершен, требуется проверка клиентом."
R-20251216-9773,specialist,2025-12-22 02:07:06,Тестирование всех режимов работы.
R-20251206-9622,specialist6,2025-12-12 23:47:06,Требуется заказ комплектующих.
R-20251206-9622,operator1,2025-12-25 04:47:06,Установлена новая плата управления.
R-20251206-9622,specialist10,2025-12-15 23:47:06,"Ремонт завершен, требуется проверка клиентом."
R-20251206-9622,operator,2025-12-19 00:47:06,Проверка электрики - все в норме.
R-20251206-9622,operator4,2025-12-27 23:47:06,Провел диагностику. Требуется замена детали.
R-20251030-1945,specialist10,2025-11-25 14:22:06,Калибровка датчиков выполнена.
R-20251030-1945,specialist1,2025-11-20 14:22:06,Установлена новая плата управления.
R-20251030-3670,operator5,2025-11-12 14:11:06,Проверка герметичности системы.
R-20251030-3670,specialist7,2025-11-07 12:11:06,"Ремонт завершен, требуется проверка клиентом."
R-20251030-3670,specialist,2025-11-23 16:11:06,Проверка герметичности системы.
R-20251030-3670,operator3,2025-11-04 10:11:06,Проверка герметичности системы.
R-20251106-6585,specialist4,2025-11-23 19:42:06,Ожидаем поставку запчастей.
